,dataset_size,subset_size,coverage_threshold,#females,#questions,result,m
128,641000,50.0,50.0,50.0,12685.05,1.0,0.01978946957878315
129,646000,50.0,50.0,50.0,12612.15,1.0,0.0195234520123839
130,651000,50.0,50.0,50.0,12776.35,1.0,0.019625729646697388
131,656000,50.0,50.0,50.0,12958.8,1.0,0.019754268292682925
132,661000,50.0,50.0,50.0,13010.65,1.0,0.019683282904689865
133,666000,50.0,50.0,50.0,13137.0,1.0,0.019725225225225226
134,671000,50.0,50.0,50.0,13205.05,1.0,0.019679657228017882
135,676000,50.0,50.0,50.0,13265.4,1.0,0.019623372781065088
136,681000,50.0,50.0,50.0,13406.8,1.0,0.019686930983847283
137,686000,50.0,50.0,50.0,13529.5,1.0,0.019722303206997086
138,691000,50.0,50.0,50.0,13545.45,1.0,0.019602677279305356
139,696000,50.0,50.0,50.0,13671.25,1.0,0.019642600574712645
140,701000,50.0,50.0,50.0,13839.8,1.0,0.019742938659058486
141,706000,50.0,50.0,50.0,13899.0,1.0,0.019686968838526914
142,711000,50.0,50.0,50.0,14066.5,1.0,0.01978410689170183
143,716000,50.0,50.0,50.0,14205.6,1.0,0.019840223463687152
144,721000,50.0,50.0,50.0,14043.95,1.0,0.01947843273231623
145,726000,50.0,50.0,50.0,14146.45,1.0,0.01948546831955923
146,731000,50.0,50.0,50.0,14366.45,1.0,0.019653146374829
147,736000,50.0,50.0,50.0,14410.25,1.0,0.01957914402173913
148,741000,50.0,50.0,50.0,14497.25,1.0,0.019564439946018895
149,746000,50.0,50.0,50.0,14701.35,1.0,0.019706903485254692
150,751000,50.0,50.0,50.0,14541.35,1.0,0.01936264980026631
151,756000,50.0,50.0,50.0,14757.15,1.0,0.01952003968253968
152,761000,50.0,50.0,50.0,14922.55,1.0,0.019609132720105123
153,766000,50.0,50.0,50.0,14968.45,1.0,0.019541057441253264
154,771000,50.0,50.0,50.0,14996.6,1.0,0.01945084306095979
155,776000,50.0,50.0,50.0,15245.7,1.0,0.019646520618556703
156,781000,50.0,50.0,50.0,15370.3,1.0,0.019680281690140845
157,786000,50.0,50.0,50.0,15478.35,1.0,0.019692557251908396
158,791000,50.0,50.0,50.0,15562.0,1.0,0.019673830594184576
159,796000,50.0,50.0,50.0,15774.25,1.0,0.01981689698492462
160,801000,50.0,50.0,50.0,15655.5,1.0,0.01954494382022472
161,806000,50.0,50.0,50.0,15921.6,1.0,0.019753846153846153
162,811000,50.0,50.0,50.0,15992.1,1.0,0.019718988902589395
163,816000,50.0,50.0,50.0,16067.9,1.0,0.019691053921568627
164,821000,50.0,50.0,50.0,16084.3,1.0,0.019591108404384897
165,826000,50.0,50.0,50.0,16290.65,1.0,0.01972233656174334
166,831000,50.0,50.0,50.0,16371.05,1.0,0.019700421179302045
167,836000,50.0,50.0,50.0,16414.9,1.0,0.019635047846889953
168,841000,50.0,50.0,50.0,16500.7,1.0,0.019620332936979786
169,846000,50.0,50.0,50.0,16566.5,1.0,0.019582151300236408
