dataset_size,subset_size,coverage_threshold,#females,#questions,result
81000,50,50,50,1585,True
81000,50,50,50,1629,True
81000,50,50,50,1694,True
81000,50,50,50,1672,True
81000,50,50,50,1611,True
81000,50,50,50,1559,True
86000,50,50,50,1826,True
86000,50,50,50,1858,True
86000,50,50,50,1626,True
86000,50,50,50,1704,True
86000,50,50,50,1679,True
86000,50,50,50,1773,True
86000,50,50,50,1717,True
86000,50,50,50,1662,True
86000,50,50,50,1920,True
86000,50,50,50,1706,True
86000,50,50,50,1717,True
86000,50,50,50,1654,True
86000,50,50,50,1761,True
86000,50,50,50,1659,True
86000,50,50,50,1688,True
86000,50,50,50,1781,True
86000,50,50,50,1827,True
86000,50,50,50,1794,True
86000,50,50,50,1953,True
86000,50,50,50,1668,True
91000,50,50,50,1954,True
91000,50,50,50,1810,True
91000,50,50,50,1904,True
91000,50,50,50,1743,True
91000,50,50,50,1858,True
91000,50,50,50,1806,True
91000,50,50,50,1793,True
91000,50,50,50,1768,True
91000,50,50,50,2130,True
91000,50,50,50,1992,True
91000,50,50,50,1872,True
91000,50,50,50,1840,True
91000,50,50,50,1787,True
91000,50,50,50,1767,True
91000,50,50,50,2160,True
91000,50,50,50,1811,True
91000,50,50,50,1802,True
91000,50,50,50,2141,True
91000,50,50,50,1770,True
91000,50,50,50,1780,True
96000,50,50,50,1897,True
96000,50,50,50,2071,True
96000,50,50,50,1918,True
96000,50,50,50,1918,True
96000,50,50,50,1900,True
96000,50,50,50,1931,True
96000,50,50,50,1904,True
96000,50,50,50,2004,True
96000,50,50,50,1914,True
96000,50,50,50,1976,True
96000,50,50,50,2188,True
96000,50,50,50,1950,True
96000,50,50,50,2088,True
96000,50,50,50,1911,True
96000,50,50,50,2082,True
96000,50,50,50,1991,True
96000,50,50,50,1909,True
96000,50,50,50,2045,True
96000,50,50,50,1859,True
96000,50,50,50,1894,True
101000,50,50,50,2056,True
101000,50,50,50,1940,True
101000,50,50,50,1944,True
101000,50,50,50,2064,True
101000,50,50,50,2180,True
101000,50,50,50,2232,True
101000,50,50,50,1936,True
101000,50,50,50,1972,True
